Company Code,EmployeeID,SSN,First Name,Middle Initial,Last Name,Pay Frequency,Employment Type Code,Employee Status Code,Start Date,End Date,Employee Category,Notes,Add Name,Add Date
202,1001,854-23-9935,James,A,Jones,M,01,A,2016-07-25,,Staff,Scenario: Standard_FT,System_Admin,2025-01-01
202,1002,833-93-9928,Michael,B,Rodriguez,M,01,T,2021-04-17,2025-06-10,Staff,Scenario: Terminated,System_Admin,2025-01-01
202,1003,444-23-2519,Barbara,B,Jones,M,01,A,2023-07-25,,Staff,Scenario: Standard_FT,System_Admin,2025-01-01
202,1004,180-80-5803,Joseph,C,Rodriguez,M,01,A,2019-03-31,,Staff,Scenario: Standard_FT,System_Admin,2025-01-01
202,1005,489-45-8428,William,C,Johnson,M,01,T,2024-09-19,2025-04-21,Staff,Scenario: COBRA,System_Admin,2025-01-01
202,1006,846-41-3677,William,B,Johnson,M,01,T,2016-12-01,2025-11-29,Staff,Scenario: Terminated,System_Admin,2025-01-01
202,1007,316-82-6155,James,A,Garcia,M,01,A,2025-02-17,,Staff,Scenario: New_Hire,System_Admin,2025-02-17
202,1008,369-84-8019,Jennifer,C,Brown,M,01,A,2021-01-16,,Staff,Scenario: Waived,System_Admin,2025-01-01
202,1009,911-97-7916,Patricia,C,Smith,M,01,T,2016-09-18,2025-05-21,Staff,Scenario: COBRA,System_Admin,2025-01-01
202,1010,798-78-5371,Sarah,C,Smith,M,01,A,2016-04-14,,Staff,Scenario: Waived,System_Admin,2025-01-01
202,1011,282-74-2743,Mary,C,Jones,B,02,A,2023-07-18,,Staff,Scenario: Part_Time,System_Admin,2025-01-01
202,1012,431-72-1319,Thomas,A,Rodriguez,B,02,A,2021-09-19,,Staff,Scenario: Part_Time,System_Admin,2025-01-01
202,1013,645-26-3103,John,C,Davis,B,02,A,2023-07-13,,Staff,Scenario: Variable,System_Admin,2025-01-01
202,1014,305-49-7537,Linda,C,Rodriguez,B,02,A,2022-09-26,,Staff,Scenario: Variable,System_Admin,2025-01-01
202,1015,702-80-4770,Michael,C,Brown,M,01,A,2015-03-28,,Staff,Scenario: Standard_FT,System_Admin,2025-01-01
202,1016,385-95-8953,James,A,Garcia,M,01,A,2017-09-01,,Staff,Scenario: Standard_FT,System_Admin,2025-01-01
202,1017,462-64-7735,Linda,B,Johnson,M,01,A,2019-11-01,,Staff,Scenario: Standard_FT,System_Admin,2025-01-01
202,1018,649-67-3296,Barbara,B,Johnson,M,01,A,2017-02-18,,Staff,Scenario: Standard_FT,System_Admin,2025-01-01
202,1019,956-11-2528,Sarah,A,Johnson,M,01,A,2021-01-23,,Staff,Scenario: Standard_FT,System_Admin,2025-01-01
202,1020,371-68-5673,Mary,B,Williams,M,01,A,2019-05-19,,Staff,Scenario: Standard_FT,System_Admin,2025-01-01
202,1021,865-50-1936,Linda,A,Smith,M,01,T,2021-01-29,2025-04-01,Staff,Scenario: Terminated,System_Admin,2025-01-01
202,1022,513-25-5033,Robert,C,Johnson,M,01,T,2022-07-28,2025-06-29,Staff,Scenario: Terminated,System_Admin,2025-01-01
202,1023,344-43-7484,Elizabeth,A,Brown,M,01,A,2018-07-10,,Staff,Scenario: Waived,System_Admin,2025-01-01
202,1024,175-78-4492,James,C,Davis,M,01,T,2021-04-25,2025-04-21,Staff,Scenario: Terminated,System_Admin,2025-01-01
202,1025,820-48-9666,Elizabeth,A,Williams,M,01,A,2025-06-20,,Staff,Scenario: New_Hire,System_Admin,2025-06-20
202,1026,378-46-4450,Patricia,C,Johnson,M,01,A,2016-09-28,,Staff,Scenario: Waived,System_Admin,2025-01-01
202,1027,145-10-6464,Mary,A,Johnson,M,01,T,2024-04-20,2025-07-20,Staff,Scenario: Terminated,System_Admin,2025-01-01
202,1028,807-29-9938,Sarah,A,Smith,M,01,A,2024-11-26,,Staff,Scenario: Standard_FT,System_Admin,2025-01-01
