company_code,employee_id,first_name,middle_name,last_name,ssn,date_of_birth,gender,hire_date,termination_date,employment_status,job_title,department,full_time_equivalent,pay_frequency,employment_type_code,email,employee_category,notes,add_name,add_date,modified_by,modified_on
202,1001,James,C,Rodriguez,660-10-3157,1979-02-01,F,2022-11-30,,A,Staff,Operations,1.0,Bi-Weekly,FT,james.rodriguez@mailinator.com,Regular,,System_Admin,2025-01-01,,
202,1002,Mary,,Brown,334-55-5236,1998-04-01,M,2021-10-09,,A,Staff,Operations,1.0,Bi-Weekly,FT,mary.brown@mailinator.com,Regular,,System_Admin,2025-01-01,,
202,1003,Karen,A,Smith,188-20-5232,1999-02-24,M,2023-11-11,,A,Staff,Operations,1.0,Bi-Weekly,FT,karen.smith@mailinator.com,Regular,,System_Admin,2025-01-01,,
202,1004,Jennifer,B,Anderson,744-49-7189,1977-06-30,F,2023-10-13,,A,Staff,Operations,1.0,Bi-Weekly,FT,jennifer.anderson@mailinator.com,Regular,,System_Admin,2025-01-01,,
202,1005,William,B,Brown,115-85-4373,1993-02-11,M,2022-03-30,,A,Staff,Operations,1.0,Bi-Weekly,FT,william.brown@mailinator.com,Regular,,System_Admin,2025-01-01,,
202,1006,Patricia,,Johnson,965-34-2552,1999-07-15,F,2022-11-07,,A,Staff,Operations,1.0,Bi-Weekly,FT,patricia.johnson@mailinator.com,Regular,,System_Admin,2025-01-01,,
202,1007,Patricia,,Jones,693-44-2261,1989-08-02,F,2023-02-06,,A,Staff,Operations,1.0,Bi-Weekly,FT,patricia.jones@mailinator.com,Regular,,System_Admin,2025-01-01,,
202,1008,Karen,D,Johnson,342-28-8205,1992-02-02,F,2023-11-24,,A,Staff,Operations,1.0,Bi-Weekly,FT,karen.johnson@mailinator.com,Regular,,System_Admin,2025-01-01,,
202,1009,John,A,Miller,461-66-5817,1998-05-02,M,2023-06-20,,A,Staff,Operations,1.0,Bi-Weekly,FT,john.miller@mailinator.com,Regular,,System_Admin,2025-01-01,,
202,1010,Michael,,Smith,335-91-3517,1997-10-07,F,2022-11-24,,A,Staff,Operations,1.0,Bi-Weekly,FT,michael.smith@mailinator.com,Regular,,System_Admin,2025-01-01,,
202,1011,James,D,Jones,469-77-2553,1994-05-14,M,2022-07-30,,A,Staff,Operations,1.0,Bi-Weekly,FT,james.jones@mailinator.com,Regular,,System_Admin,2025-01-01,,
202,1012,David,A,Johnson,177-41-3799,1995-01-12,F,2021-01-29,,A,Staff,Operations,1.0,Bi-Weekly,FT,david.johnson@mailinator.com,Regular,,System_Admin,2025-01-01,,
202,1013,Mary,D,Martin,775-72-8393,1975-09-05,M,2021-02-28,,A,Staff,Operations,1.0,Bi-Weekly,FT,mary.martin@mailinator.com,Regular,,System_Admin,2025-01-01,,
202,1014,Patricia,D,Wilson,697-12-1494,1984-09-28,M,2022-05-20,,A,Staff,Operations,1.0,Bi-Weekly,FT,patricia.wilson@mailinator.com,Regular,,System_Admin,2025-01-01,,
202,1015,Jessica,B,Taylor,108-25-9591,1989-10-22,M,2020-02-21,,A,Staff,Operations,1.0,Bi-Weekly,FT,jessica.taylor@mailinator.com,Regular,,System_Admin,2025-01-01,,
202,1016,Barbara,B,Williams,730-13-5689,1998-10-25,F,2021-05-03,,A,Staff,Operations,1.0,Bi-Weekly,FT,barbara.williams@mailinator.com,Regular,,System_Admin,2025-01-01,,
202,1017,Susan,B,Johnson,717-27-4300,1995-03-27,M,2020-07-20,,A,Staff,Operations,1.0,Bi-Weekly,FT,susan.johnson@mailinator.com,Regular,,System_Admin,2025-01-01,,
202,1018,John,C,Johnson,309-90-7029,1982-07-28,M,2021-02-28,,A,Staff,Operations,1.0,Bi-Weekly,FT,john.johnson@mailinator.com,Regular,,System_Admin,2025-01-01,,
202,1019,Karen,B,Johnson,983-93-8901,1975-06-25,F,2023-04-29,,A,Staff,Operations,1.0,Bi-Weekly,FT,karen.johnson@mailinator.com,Regular,,System_Admin,2025-01-01,,
